high frequency data, created:, 07-Apr-2021
GC-MD, Mace Head, Ireland, Lat.:, 53.33, 53.33N, Lon.:, -9.9, 9.9W, Alt:, 5, m above sea level
 
CREDIT FOR USE: This is a formal notification for data users. 
For scientific purposes access to these data is unlimited and 
provided without charge. By their use you accept that an offer 
of co-authorship will be made through personal contact with the
data providers or owners whenever substantial use is made of 
their data. In all cases an acknowledgement must be made to the
data providers or owners and the data centre when these data are
used within a publication.
CONTACT POINT: s.odoherty@bristol.ac.uk; dickon.young@bristol.ac.uk; raywang@eas.gatech.edu 

The time (mm/dd/yyyy hh:mm) indicates sample time
scale:, --, --, --, --, SIO-05, --, SIO-05, --, SIO-05, --, SIO-05, --, SIO-16, --, SIO-05, --, TU1987, --, SIO-98, --, CSIRO-94, --, MPI-2009, --
unit:, --, --, --, --, ppt, --, ppt, --, ppt, --, ppt, --, ppb, --, ppt, --, ppb, --, ppt, --, ppb, --, ppb, --
mm/dd/yyyy hh:mm, year, month, day, hour, min, CFC-11, flag, CFC-12, flag, CH3CCl3, flag, CCl4, flag, N2O, flag, CFC-113, flag, CH4, flag, CHCl3, flag, CO, flag, H2 flag
01/01/2013 01:05, 2013, 1, 1, 1, 5, , , , , , , , , , , -99.990, , 1893.955, , , , 127.093, , 516.851, 
01/01/2013 01:45, 2013, 1, 1, 1, 45, , , , , 5.018, , 84.156, , , , -99.990, , 1888.488, , 12.408, , 126.713, , 516.974, 
01/01/2013 02:25, 2013, 1, 1, 2, 25, 235.738, , 526.538, , 4.681, , 84.277, , 326.622, , -99.990, , 1894.363, , 12.936, , 128.383, , 510.618, 
01/01/2013 03:05, 2013, 1, 1, 3, 5, 236.254, , 526.101, , 4.865, , 84.796, , 326.662, , -99.990, , 1890.273, , 11.929, , 127.445, , 513.794, 
01/01/2013 03:45, 2013, 1, 1, 3, 45, 236.414, , 525.773, , 5.285, , 85.089, , 326.528, , -99.990, , 1892.570, , 13.117, , 127.606, , 514.409, 
01/01/2013 04:25, 2013, 1, 1, 4, 25, 235.937, , 526.456, , 5.264, , 84.887, , 326.822, , -99.990, , 1893.564, , 12.721, , 129.190, , 516.456, 
01/01/2013 05:05, 2013, 1, 1, 5, 5, 236.174, , 526.270, , 5.247, , 84.650, , 326.749, , -99.990, , 1896.279, , 12.785, , 128.876, , 513.471, 
01/01/2013 06:25, 2013, 1, 1, 6, 25, 236.314, , 525.743, , 4.979, , 84.955, , , , -99.990, , 1896.050, , 12.153, , 130.665, , 513.579, 
01/01/2013 07:05, 2013, 1, 1, 7, 5, 236.559, , 526.239, , 5.022, , 85.249, , 326.545, , -99.990, , 1894.351, , 12.965, , 131.099, , 509.034, 
01/01/2013 07:45, 2013, 1, 1, 7, 45, 236.097, , 526.163, , 5.330, , 84.565, , 326.669, , -99.990, , 1899.705, , 12.441, , 130.808, , 510.933, 
01/01/2013 08:25, 2013, 1, 1, 8, 25, 235.580, , 525.850, , 4.956, , 84.318, , 326.631, , -99.990, , 1899.229, , 12.188, , 130.012, , 515.598, 
01/01/2013 09:05, 2013, 1, 1, 9, 5, 235.682, , 526.070, , 5.088, , 84.696, , 326.472, , -99.990, , 1898.597, , 12.411, , 130.748, , 509.833, 
