high frequency data, created:, 07-Apr-2021
GC-MD, Mace Head, Ireland, Lat.:, 53.33, 53.33N, Lon.:, -9.9, 9.9W, Alt:, 5, m above sea level
 
CREDIT FOR USE: This is a formal notification for data users. 
For scientific purposes access to these data is unlimited and 
provided without charge. By their use you accept that an offer 
of co-authorship will be made through personal contact with the
data providers or owners whenever substantial use is made of 
their data. In all cases an acknowledgement must be made to the
data providers or owners and the data centre when these data are
used within a publication.
CONTACT POINT: s.odoherty@bristol.ac.uk; dickon.young@bristol.ac.uk; raywang@eas.gatech.edu 

The time (mm/dd/yyyy hh:mm) indicates sample time
scale:, --, --, --, --, SIO-05, --, SIO-05, --, SIO-05, --, SIO-05, --, SIO-16, --, SIO-05, --, TU1987, --, SIO-98, --, CSIRO-94, --, MPI-2009, --
unit:, --, --, --, --, ppt, --, ppt, --, ppt, --, ppt, --, ppb, --, ppt, --, ppb, --, ppt, --, ppb, --, ppb, --
mm/dd/yyyy hh:mm, year, month, day, hour, min, CFC-11, flag, CFC-12, flag, CH3CCl3, flag, CCl4, flag, N2O, flag, CFC-113, flag, CH4, flag, CHCl3, flag, CO, flag, H2 flag
03/01/1994 00:05, 1994, 3, 1, 0, 5, 269.912, , 527.805, , 132.574, , 104.516, , 312.316, , 84.930, , 1834.071, , 13.250, , 175.644, P, , 
03/01/1994 00:45, 1994, 3, 1, 0, 45, 269.424, , 527.663, , 132.854, , 104.431, , 312.049, , 84.916, , 1836.927, P, 13.972, , 174.828, P, , 
03/01/1994 01:25, 1994, 3, 1, 1, 25, 269.637, , 527.487, , 133.046, , 104.853, , 312.158, , 84.618, , 1840.644, P, 16.027, P, 184.538, P, , 
03/01/1994 02:05, 1994, 3, 1, 2, 5, , , , , , , , , , , , , 1841.932, P, , , 173.342, P, , 
03/01/1994 03:05, 1994, 3, 1, 3, 5, , , , , , , , , , , , , 1828.834, , , , 167.279, , , 
03/01/1994 03:45, 1994, 3, 1, 3, 45, 269.842, , 527.486, , 131.605, , 104.115, , 311.917, , 84.989, , 1828.443, , 13.029, , 164.683, , , 
03/01/1994 04:25, 1994, 3, 1, 4, 25, 269.424, , 527.344, , 132.235, , 104.298, , 312.020, , 84.544, , 1824.569, , 13.962, , 167.172, , , 
03/01/1994 05:05, 1994, 3, 1, 5, 5, 269.539, , 527.269, , 132.525, , 104.564, , 311.814, , 84.720, , 1829.112, , 14.107, , 166.610, , , 
03/01/1994 05:45, 1994, 3, 1, 5, 45, 269.601, , 527.841, , 135.229, P, 104.608, , 312.021, , 84.522, , 1834.166, , 15.067, , 169.794, P, , 
03/01/1994 06:25, 1994, 3, 1, 6, 25, 269.729, , 527.836, , 139.142, P, 104.613, , 311.902, , 85.172, , 1835.231, , 17.336, P, 169.960, P, , 
03/01/1994 07:05, 1994, 3, 1, 7, 5, 269.676, , 528.328, P, 139.912, P, 104.524, , 312.142, , 85.039, , 1854.148, P, 18.022, P, 173.687, P, , 
03/01/1994 07:45, 1994, 3, 1, 7, 45, 269.419, , 526.913, , 132.847, , 104.412, , 312.087, , 84.295, , 1852.107, P, 18.170, P, 171.451, P, , 
03/01/1994 08:25, 1994, 3, 1, 8, 25, 268.772, , 525.431, , 131.054, , 104.147, , 311.527, , 84.506, , 1815.663, , 12.538, , 152.592, , , 
03/01/1994 09:05, 1994, 3, 1, 9, 5, 269.075, , 526.667, , 132.227, , 104.196, , 311.800, , 84.335, , 1813.552, , 11.279, , 154.390, , , 
03/01/1994 09:45, 1994, 3, 1, 9, 45, 269.405, , 526.433, , 131.582, , 104.723, , 311.687, , 84.620, , 1825.035, , 11.667, , 159.720, , , 
03/01/1994 10:25, 1994, 3, 1, 10, 25, 269.142, , 527.385, , 133.185, , 104.302, , , , 84.371, , 1825.601, , 11.687, , 163.113, , , 
03/01/1994 11:05, 1994, 3, 1, 11, 5, 269.614, , 527.441, , 132.736, , 103.965, , , , 84.689, , 1847.104, , 13.281, , 169.024, , , 
03/01/1994 11:45, 1994, 3, 1, 11, 45, 269.490, , 527.893, , 132.725, , 104.531, , , , 84.734, , 1842.446, , 14.736, , 168.434, , , 
03/01/1994 12:25, 1994, 3, 1, 12, 25, 269.126, , 527.745, , 132.301, , 104.288, , , , 84.834, , 1847.958, , 14.667, , 169.423, , , 
03/01/1994 13:05, 1994, 3, 1, 13, 5, 269.333, , 527.990, , 132.591, , 105.114, , 311.951, , 84.583, , 1838.208, , 12.818, , 168.965, , , 
03/01/1994 13:45, 1994, 3, 1, 13, 45, 269.449, , 527.837, , 134.194, , 103.865, , 311.800, , 84.775, , 1836.105, , 11.767, , 168.156, , , 
03/01/1994 14:26, 1994, 3, 1, 14, 26, 268.980, , 527.587, , 133.451, , 104.727, , 312.184, , 85.293, , 1833.738, , 12.592, , , , , 
03/01/1994 15:06, 1994, 3, 1, 15, 6, 269.401, , 527.099, , 132.274, , 103.567, , 312.142, , 84.383, , 1834.493, , 12.504, , 171.817, , , 
03/01/1994 15:46, 1994, 3, 1, 15, 46, 269.353, , 527.547, , 132.483, , 104.205, , 312.186, , 84.696, , 1834.899, , 12.637, , 171.801, , , 
03/01/1994 16:26, 1994, 3, 1, 16, 26, 269.295, , 528.043, , 134.042, , 104.334, , 311.979, , 84.848, , 1821.087, , 12.788, , 163.837, , , 
03/01/1994 17:06, 1994, 3, 1, 17, 6, 269.014, , 526.738, , 131.627, , 105.192, , 312.053, , 84.356, , 1809.815, , 12.193, , 154.781, , , 
03/01/1994 17:46, 1994, 3, 1, 17, 46, 269.188, , 526.716, , 132.149, , 103.643, , 312.023, , 84.597, , 1811.400, , 11.876, , 155.550, , , 
03/01/1994 18:26, 1994, 3, 1, 18, 26, 268.899, , 526.445, , 131.470, , 103.750, , 311.851, , 83.881, , 1817.122, , 11.314, , 154.780, , , 
03/01/1994 19:06, 1994, 3, 1, 19, 6, 268.841, , 527.022, , 130.809, , 104.035, , 312.213, , 84.570, , 1811.525, , 10.408, , 154.246, , , 
03/01/1994 19:46, 1994, 3, 1, 19, 46, 268.599, , 525.465, , 130.701, , 104.928, , 311.581, , 83.957, , 1818.605, , 10.613, , 152.617, , , 
03/01/1994 20:26, 1994, 3, 1, 20, 26, 268.435, , 525.789, , 130.614, , 103.947, , 311.599, , 84.247, , 1808.336, , 12.896, , 150.147, , , 
03/01/1994 21:06, 1994, 3, 1, 21, 6, 268.470, , 525.661, , 130.452, , 104.036, , 311.687, , 84.219, , 1810.120, , 11.188, , 149.197, , , 
03/01/1994 21:46, 1994, 3, 1, 21, 46, 268.403, , 524.898, , 130.866, , 104.008, , 311.658, , 84.340, , 1801.592, , 12.228, , 148.195, , , 
03/01/1994 22:26, 1994, 3, 1, 22, 26, 268.415, , 525.411, , 130.836, , 103.949, , 311.848, , 84.091, , 1805.652, , 12.000, , 149.246, , , 
03/01/1994 23:06, 1994, 3, 1, 23, 6, 268.774, , 525.807, , 130.924, , 104.336, , 311.959, , 84.377, , 1808.262, , 12.972, , 150.336, , , 
03/01/1994 23:46, 1994, 3, 1, 23, 46, 268.831, , 525.559, , 130.959, , 103.503, , 311.967, , 84.459, , 1807.249, , 11.728, , 149.601, , , 
03/02/1994 00:26, 1994, 3, 2, 0, 26, 268.825, , 525.483, , 130.848, , 103.528, , 311.944, , 84.711, , 1810.241, , 12.512, , 150.093, , , 
03/02/1994 01:06, 1994, 3, 2, 1, 6, 268.718, , 526.237, , 130.931, , 103.793, , 311.517, , 84.069, , 1812.909, , 12.473, , 149.375, , , 
03/02/1994 01:46, 1994, 3, 2, 1, 46, , , , , , , , , , , , , 1811.635, , , , 148.961, , , 
03/02/1994 02:46, 1994, 3, 2, 2, 46, , , , , , , , , , , , , 1810.993, , , , 151.080, , , 
03/02/1994 03:26, 1994, 3, 2, 3, 26, 268.694, , 525.841, , 131.334, , 104.313, , 311.891, , 84.802, , 1809.979, , 11.735, , 151.229, , , 
03/02/1994 04:07, 1994, 3, 2, 4, 7, 268.906, , 526.279, , 131.338, , 104.627, , 311.683, , 84.480, , 1808.578, , 11.566, , 151.035, , , 
03/02/1994 04:47, 1994, 3, 2, 4, 47, 268.898, , 526.406, , 131.431, , 104.273, , 311.661, , 84.375, , 1812.647, , 12.540, , 151.500, , , 
03/02/1994 05:27, 1994, 3, 2, 5, 27, 269.464, , 526.426, , 132.043, , 103.667, , 311.746, , 84.564, , 1819.880, , 11.078, , 154.902, , , 
03/02/1994 06:07, 1994, 3, 2, 6, 7, 269.077, , 526.379, , 132.278, , 103.782, , 311.862, , 84.289, , 1818.260, , 10.749, , 153.979, , , 
03/02/1994 06:47, 1994, 3, 2, 6, 47, 269.075, , 525.956, , 132.374, , 104.154, , 312.002, , 84.557, , 1816.738, , 10.684, , 156.601, , , 
03/02/1994 07:27, 1994, 3, 2, 7, 27, 268.849, , 526.234, , 131.140, , 104.817, , 312.091, , 84.531, , 1822.715, , 11.791, , 156.226, , , 
03/02/1994 08:07, 1994, 3, 2, 8, 7, 268.899, , 525.801, , 130.873, , 104.122, , 311.790, , 84.785, , 1810.168, , 11.041, , 154.115, , , 
03/02/1994 08:47, 1994, 3, 2, 8, 47, 269.009, , 526.313, , 131.978, , 104.424, , 311.938, , 84.484, , 1818.186, , 11.430, , 156.350, , , 
03/02/1994 09:27, 1994, 3, 2, 9, 27, 268.852, , 526.722, , 131.582, , 104.872, , 311.914, , 84.395, , 1816.383, , 11.289, , 155.218, , , 
03/02/1994 10:07, 1994, 3, 2, 10, 7, 268.743, , 526.217, , 131.371, , 104.353, , 311.931, , 84.269, , 1811.620, , 12.182, , 154.878, , , 
03/02/1994 10:47, 1994, 3, 2, 10, 47, 268.876, , 526.253, , 131.395, , 103.999, , 311.712, , 84.638, , 1817.994, , 11.769, , 155.736, , , 
03/02/1994 11:27, 1994, 3, 2, 11, 27, 268.685, , 525.999, , 131.662, , 103.691, , 311.678, , 84.394, , 1824.714, , 12.423, , 157.020, , , 
03/02/1994 12:07, 1994, 3, 2, 12, 7, 268.958, , 526.667, , 132.094, , 103.559, , 311.835, , 84.758, , 1817.534, , 11.995, , 154.956, , , 
03/02/1994 12:47, 1994, 3, 2, 12, 47, 268.658, , 525.981, , 130.975, , 103.800, , 311.835, , 84.346, , 1817.512, , 11.475, , 153.349, , , 
03/02/1994 13:27, 1994, 3, 2, 13, 27, 268.825, , 526.120, , 131.594, , 104.173, , 311.855, , 84.551, , 1812.981, , 12.311, , 152.232, , , 
03/02/1994 14:07, 1994, 3, 2, 14, 7, 268.800, , 526.083, , 131.700, , 104.153, , 311.780, , 84.578, , 1814.014, , 12.372, , 152.551, , , 
03/02/1994 14:47, 1994, 3, 2, 14, 47, 268.683, , 526.084, , 131.740, , 104.498, , 311.810, , 84.241, , 1814.767, , 9.861, , 152.471, , , 
03/02/1994 15:27, 1994, 3, 2, 15, 27, 269.358, , 526.001, , 130.690, , 104.533, , 311.889, , 84.201, , 1817.075, , 10.742, , 154.887, , , 
