high frequency data, created:, 07-Apr-2021
GC-MD, Mace Head, Ireland, Lat.:, 53.33, 53.33N, Lon.:, -9.9, 9.9W, Alt:, 5, m above sea level
 
CREDIT FOR USE: This is a formal notification for data users. 
For scientific purposes access to these data is unlimited and 
provided without charge. By their use you accept that an offer 
of co-authorship will be made through personal contact with the
data providers or owners whenever substantial use is made of 
their data. In all cases an acknowledgement must be made to the
data providers or owners and the data centre when these data are
used within a publication.
CONTACT POINT: s.odoherty@bristol.ac.uk; dickon.young@bristol.ac.uk; raywang@eas.gatech.edu 

The time (mm/dd/yyyy hh:mm) indicates sample time
scale:, --, --, --, --, SIO-05, --, SIO-05, --, SIO-05, --, SIO-05, --, SIO-16, --, SIO-05, --, TU1987, --, SIO-98, --, CSIRO-94, --, MPI-2009, --
unit:, --, --, --, --, ppt, --, ppt, --, ppt, --, ppt, --, ppb, --, ppt, --, ppb, --, ppt, --, ppb, --, ppb, --
mm/dd/yyyy hh:mm, year, month, day, hour, min, CFC-11, flag, CFC-12, flag, CH3CCl3, flag, CCl4, flag, N2O, flag, CFC-113, flag, CH4, flag, CHCl3, flag, CO, flag, H2 flag
01/01/2014 00:10, 2014, 1, 1, 0, 10, , , , , , , , , , , -99.990, , , , , , , , , 
01/01/2014 01:30, 2014, 1, 1, 1, 30, , , , , , , , , , , -99.990, , 1906.036, , , , , , 507.050, 
01/01/2014 02:10, 2014, 1, 1, 2, 10, , , , , 3.766, , 82.938, , , , -99.990, , 1908.005, , 14.321, , , , 504.807, 
01/01/2014 02:50, 2014, 1, 1, 2, 50, 234.819, , 523.690, , 4.657, , 83.364, , 327.742, , -99.990, , 1903.201, , 14.313, , 122.811, , 505.013, 
01/01/2014 03:30, 2014, 1, 1, 3, 30, 234.686, , 523.749, , 4.375, , 83.197, , 327.471, , -99.990, , 1919.284, P, 15.911, P, 127.149, P, 504.108, 
01/01/2014 04:10, 2014, 1, 1, 4, 10, 234.056, , 523.124, , 4.177, , 83.182, , 327.637, , -99.990, , 1922.621, P, 16.879, P, 127.496, P, 507.235, 
01/01/2014 04:50, 2014, 1, 1, 4, 50, 234.581, , 523.318, , 4.476, , 83.173, , 327.634, , -99.990, , 1919.246, P, 16.655, P, 126.016, P, 502.816, 
01/01/2014 05:30, 2014, 1, 1, 5, 30, 234.797, , 523.089, , 4.248, , 83.246, , 328.007, P, -99.990, , 1927.161, P, 18.570, P, 126.898, P, 496.766, P
01/01/2014 06:10, 2014, 1, 1, 6, 10, 234.433, , 523.242, , 4.418, , 83.334, , 327.850, , -99.990, , 1934.159, P, 17.893, P, 128.451, P, 498.287, P
01/01/2014 06:50, 2014, 1, 1, 6, 50, 234.328, , 523.366, , 4.275, , 83.177, , 327.954, , -99.990, , 1940.388, P, 17.038, P, 130.475, P, 503.295, 
01/01/2014 07:30, 2014, 1, 1, 7, 30, 234.275, , 523.583, , 4.174, , 82.752, , 327.870, , -99.990, , 1929.271, P, 15.696, P, 127.705, P, 496.141, P
01/01/2014 08:10, 2014, 1, 1, 8, 10, 234.591, , 524.107, , 4.133, , 82.902, , 327.772, , -99.990, , 1923.083, P, 17.400, P, 126.094, P, 504.150, 
01/01/2014 08:50, 2014, 1, 1, 8, 50, 234.461, , 523.863, , 4.395, , 83.315, , 327.787, , -99.990, , 1929.142, P, 20.726, P, 127.388, P, 495.510, P
01/01/2014 09:30, 2014, 1, 1, 9, 30, 234.734, , 523.652, , 4.211, , 83.239, , 327.956, , -99.990, , 1938.860, P, 19.762, P, 126.080, P, 498.312, P
01/01/2014 10:10, 2014, 1, 1, 10, 10, 234.694, , 523.614, , 4.168, , 83.647, , 327.991, , -99.990, , 1948.648, P, 22.362, P, 138.421, P, 503.819, 
01/01/2014 10:50, 2014, 1, 1, 10, 50, 234.493, , 523.742, , 4.076, , 83.352, , 328.057, P, -99.990, , 1942.214, P, 21.573, P, 128.734, P, 493.599, P
01/01/2014 11:30, 2014, 1, 1, 11, 30, 234.149, , 523.357, , 4.044, , 83.108, , 327.694, , -99.990, , 1932.212, P, 19.283, P, 123.363, , 500.778, 
01/01/2014 12:10, 2014, 1, 1, 12, 10, 234.222, , 523.188, , 4.323, , 83.388, , 327.698, , -99.990, , 1917.285, P, 17.639, P, 120.955, , 503.849, 
01/01/2014 12:50, 2014, 1, 1, 12, 50, 234.155, , 523.661, , 4.229, , 82.931, , 327.663, , -99.990, , 1916.949, P, 16.754, P, 120.503, , 503.665, 
01/01/2014 13:30, 2014, 1, 1, 13, 30, 234.418, , 523.437, , 4.026, , 83.176, , 327.677, , -99.990, , 1928.346, P, 18.443, P, 124.849, , 503.355, 
01/01/2014 14:10, 2014, 1, 1, 14, 10, 234.638, , 523.205, , 4.081, , 83.459, , 327.807, , -99.990, , 1926.403, P, 17.429, P, 122.532, , 503.741, 
